doc_id,n_texts,coherence_hybrid,coherence_bertopic,semantic_diversity_hybrid,semantic_diversity_bertopic,distinct2_hybrid,distinct2_bertopic,overlap,coverage_h_in_b,coverage_b_in_h,keywords_hybrid,keywords_bertopic
DOC-0D478638-41BF,2,0.28026649355888367,0.26595139503479004,0.7197335064411163,0.73404860496521,1.0,1.0,0.3125,0.25,0.25,"chicken, sandwich, love, place, coming, ages, favorites, elsa, burgers, dragon","abstract, ages, always, any, art, atmosphere, been, burgers, but, chicken, china, coming, cool, display, dragon, elsa, favorites, fun, have, here, hot, little, love, my, pepper, place, sandwich, their, they, totally, very, wings"
DOC-1753CAA8-EECC,28,0.26283299922943115,0.2635977268218994,0.7371670007705688,0.7364022731781006,1.0,1.0,0.21951219512195122,0.225,0.225,"gold, bloomberg, year, investors, rally, tuesday, said, losses, going, not","after, also, bank, been, bloomberg, day, debasement, debt, get, going, gold, had, has, have, higher, investors, its, losses, make, metals, much, ounce, plan, precious, rally, rates, read, recent, retail, said, silver, strategists, term, trade, trump, tuesday, us, what, which, year"
DOC-4B43DEFE-1F7E,1,0.2801414132118225,0.27680519223213196,0.7198585569858551,0.7231947779655457,1.0,1.0,0.375,0.225,0.225,"sushi, absolutely, best, valley, hands, down, fish, fresh, spicy, tuna","75, absolutely, amazing, best, cooked, extremely, fish, food, fresh, hands, like, lunch, minutes, restaurant, say, service, slow, spicy, sushi, tuna, valley, waited, wasn"
DOC-89315DD0-7219,1,0.2503335475921631,0.26864975690841675,0.7496664226055145,0.7313502728939056,1.0,1.0,0.34615384615384615,0.225,0.225,"sandwich, atm, wonderful, vietnamese, shoppe, baguettes, great, hot, out, oven","accepted, atm, baguettes, baked, best, bring, butter, card, cards, cash, choices, credit, egg, goods, great, hot, modest, oven, premises, rolls, sandwich, selection, shoppe, vietnamese, wonderful"
DOC-D2425F06-5414,8,0.31379950046539307,0.2395068109035492,0.6862004697322845,0.7604931890964508,1.0,1.0,0.25,0.25,0.25,"gold, inc, president, market, investors, year, analysts, volatility, vix, corp","analysts, before, corp, gold, has, inc, investors, like, market, metals, near, negotiations, new, now, nvidia, ounce, parallel, participation, particularly, per, potential, president, rally, rates, reassessed, rebound, remains, renewed, reported, reserve, retail, reuters, said, seen, silver, term, traded, vix, volatility, year"
DOC-F2357F8F-C829,2,0.25389593839645386,0.25394293665885925,0.7461040914058685,0.7460570931434631,1.0,1.0,0.19047619047619047,0.2,0.2,"sidebar, year, valley, crowded, out, buzzcation, crew, girlfriends, took, side","accomodating, buzzcation, crew, crowded, just, kind, let, like, me, more, much, my, networking, night, number, older, one, out, overly, pretentious, really, scottsdale, setting, sidebar, sidebarphx, sight, sleek, so, spent, stars, took, tweeples, twitter, valley, way, we, welcome, went, who, year"
